"","iCuttingEdge","iEaseOfUse","iBestValue","iPreviousModelRating","iCost","iPurchaseIntent"
"1",6,5,6,5,4,3
"2",8,4,8,8,6,7
"3",3,5,5,4,3,4
"4",4,4,7,4,6,5
"5",7,5,6,5,7,6
"6",9,7,5,7,8,6
"7",5,6,4,4,4,3
"8",6,9,6,7,10,4
"9",6,7,4,5,5,4
"10",5,7,5,3,5,2
"11",7,4,7,5,6,5
"12",8,2,4,2,5,5
"13",7,6,8,6,5,3
"14",6,3,4,7,7,8
"15",10,9,9,6,8,6
"16",5,8,5,4,1,4
"17",6,4,5,3,5,5
"18",5,5,3,5,5,6
"19",10,2,4,6,7,7
"20",10,6,7,9,7,8
"21",6,8,6,5,6,4
"22",4,7,5,4,4,5
"23",5,6,8,6,6,6
"24",4,5,7,4,7,5
"25",8,4,8,7,9,6
"26",4,7,7,6,4,3
"27",6,7,10,5,8,6
"28",8,4,5,7,6,7
"29",6,7,6,5,5,5
"30",6,6,4,6,6,3
"31",6,7,4,4,8,5
"32",3,9,5,8,6,5
"33",7,6,3,3,4,3
"34",6,5,2,3,4,3
"35",5,6,3,4,4,6
"36",5,7,7,6,5,6
"37",6,6,7,8,8,4
"38",7,5,3,3,4,5
"39",7,4,5,6,6,7
"40",9,7,8,5,4,7
"41",6,6,5,7,6,5
"42",7,5,5,5,9,6
"43",7,5,5,6,5,3
"44",7,6,7,6,5,6
"45",6,6,9,4,8,1
"46",5,5,3,4,5,5
"47",7,4,3,4,7,7
"48",5,6,8,9,8,5
"49",5,6,7,6,9,5
"50",3,6,8,6,4,2
"51",7,8,6,3,4,5
"52",6,8,7,8,6,7
"53",6,7,4,6,9,5
"54",4,6,3,5,8,5
"55",6,5,5,6,5,4
"56",6,4,4,8,6,4
"57",5,6,7,3,6,3
"58",9,6,6,6,7,4
"59",7,7,7,5,3,3
"60",5,7,5,7,7,6
"61",6,8,4,5,6,5
"62",6,9,6,5,5,7
"63",6,8,7,6,5,5
"64",6,6,3,4,4,5
"65",7,5,3,4,4,7
"66",3,8,7,6,7,5
"67",7,2,2,7,5,5
"68",4,5,4,5,5,5
"69",7,5,6,3,2,3
"70",6,5,4,5,3,7
"71",6,6,8,6,4,7
"72",6,2,6,6,5,6
"73",5,6,6,6,6,5
"74",7,6,4,4,5,8
"75",3,6,4,6,6,5
"76",6,4,7,7,9,4
"77",8,9,7,8,9,5
"78",3,7,7,6,6,7
"79",7,4,6,5,4,5
"80",6,7,5,5,4,5
"81",7,8,4,3,4,4
"82",7,5,5,7,9,6
"83",4,7,6,7,7,7
"84",6,4,5,4,4,6
"85",6,1,4,5,4,3
"86",6,3,2,3,2,4
"87",8,4,6,3,3,5
"88",5,7,9,5,5,6
"89",5,8,8,7,5,6
"90",7,7,6,5,6,5
"91",9,5,6,5,8,5
"92",4,8,8,6,4,7
"93",6,3,3,6,5,5
"94",7,7,8,4,6,6
"95",7,4,7,6,8,7
"96",6,6,6,9,7,3
"97",3,4,5,2,4,4
"98",6,7,5,6,6,7
"99",5,4,4,3,3,4
"100",8,5,7,6,3,4
"101",7,7,9,8,7,6
"102",5,5,7,4,4,5
"103",4,5,7,6,6,4
"104",6,5,6,3,3,6
"105",5,5,5,6,4,5
"106",6,7,5,5,7,7
"107",3,5,5,8,7,4
"108",7,7,4,7,5,6
"109",6,8,8,9,7,6
"110",7,8,5,6,6,4
"111",6,6,5,5,7,8
"112",5,5,7,6,5,6
"113",4,5,6,8,8,9
"114",6,5,7,4,5,5
"115",7,8,8,6,7,2
"116",7,5,3,4,4,4
"117",6,6,4,3,3,6
"118",5,5,3,5,2,4
"119",6,7,7,8,5,5
"120",6,6,5,7,8,4
"121",9,7,5,7,7,8
"122",4,3,6,3,5,7
"123",7,6,6,8,3,6
"124",10,4,7,9,10,8
"125",4,5,5,5,3,3
"126",6,6,5,6,6,8
"127",5,5,4,5,6,7
"128",6,8,8,8,10,8
"129",6,4,6,7,6,4
"130",8,5,6,7,5,6
"131",4,4,4,5,2,5
"132",5,7,8,3,3,6
"133",5,3,5,4,3,4
"134",5,9,8,7,5,5
"135",4,6,5,5,7,4
"136",9,5,8,6,5,7
"137",5,5,7,5,6,6
"138",6,5,6,5,5,5
"139",7,7,8,4,4,5
"140",6,3,2,3,3,4
"141",4,6,4,6,9,5
"142",6,7,6,6,6,7
"143",4,3,7,5,1,5
"144",5,4,3,3,4,6
"145",5,3,6,9,6,4
"146",7,7,4,6,6,7
"147",8,6,2,1,3,2
"148",7,5,8,6,5,8
"149",6,5,6,7,4,2
"150",6,4,2,7,7,5
"151",9,5,4,6,6,5
"152",7,4,7,6,6,7
"153",7,4,3,4,3,5
"154",8,3,4,4,3,5
"155",5,7,6,2,4,5
"156",5,4,4,6,4,5
"157",7,3,5,1,1,3
"158",8,6,3,5,4,5
"159",8,8,8,5,4,4
"160",4,5,4,4,5,6
"161",7,5,5,4,7,6
"162",4,6,6,3,5,4
"163",5,6,7,8,10,7
"164",7,3,5,8,8,5
"165",5,7,7,3,4,4
"166",10,6,6,7,6,7
"167",7,5,5,4,4,4
"168",7,4,6,10,8,6
"169",6,9,9,9,8,7
"170",6,7,5,2,4,7
"171",7,5,7,4,5,5
"172",5,6,6,4,5,5
"173",5,6,3,4,2,7
"174",6,6,5,8,5,8
"175",6,5,6,4,5,4
"176",6,5,8,3,3,4
"177",7,5,6,8,10,6
"178",3,6,5,5,5,3
"179",6,4,4,5,6,7
"180",5,6,5,4,5,7
"181",6,4,7,6,6,4
"182",5,3,5,4,4,4
"183",7,8,6,6,7,5
"184",8,6,6,8,4,5
"185",6,5,5,4,3,4
"186",4,6,3,5,5,4
"187",7,7,7,6,9,7
"188",8,6,7,5,5,6
"189",5,6,5,2,3,5
"190",7,6,7,5,7,6
"191",6,6,6,5,4,3
"192",8,7,6,7,5,4
"193",9,7,6,3,4,4
"194",7,1,2,4,6,5
"195",4,6,7,4,4,7
"196",5,3,5,5,3,5
"197",5,9,10,5,6,3
"198",5,8,7,8,6,6
"199",7,7,7,9,5,5
"200",7,7,7,8,5,7
"201",7,3,6,3,1,4
"202",5,6,6,4,7,2
"203",10,6,7,6,4,7
"204",6,4,4,5,6,5
"205",4,6,4,5,8,6
"206",8,4,4,6,4,4
"207",7,3,4,5,3,4
"208",6,6,5,4,4,4
"209",7,6,7,6,3,6
"210",7,3,3,3,8,5
"211",6,6,5,4,5,4
"212",6,5,5,7,7,5
"213",7,8,8,7,8,4
"214",6,6,5,6,7,7
"215",7,7,9,3,4,6
"216",6,4,4,2,4,5
"217",6,6,6,4,6,5
"218",6,5,5,4,7,7
"219",10,5,5,4,7,6
"220",6,4,2,3,4,3
"221",5,4,5,4,4,6
"222",9,9,9,8,8,7
"223",7,5,6,4,5,5
"224",6,4,5,4,6,7
"225",9,8,4,7,5,5
"226",7,8,5,6,6,5
"227",10,5,5,6,5,4
"228",6,6,1,5,4,5
"229",4,4,6,5,6,8
"230",7,4,4,3,3,4
"231",5,5,6,5,5,7
"232",6,6,1,4,2,6
"233",5,4,6,7,7,7
"234",4,6,3,4,4,5
"235",8,8,7,5,6,4
"236",5,7,8,4,5,6
"237",6,8,7,8,4,6
"238",7,4,3,4,5,5
"239",7,6,6,6,4,8
"240",7,6,9,7,4,5
"241",9,6,6,6,4,7
"242",7,6,2,2,4,5
"243",6,7,9,4,7,3
"244",6,5,3,5,7,4
"245",2,3,3,4,5,4
"246",3,4,7,7,8,5
"247",6,6,5,5,2,5
"248",3,7,7,7,4,6
"249",9,7,5,5,2,6
"250",7,6,6,5,4,5
"251",8,8,4,6,4,6
"252",7,6,7,8,7,5
"253",7,7,8,9,4,6
"254",5,6,7,7,7,7
"255",5,4,4,5,6,6
"256",8,8,5,5,3,2
"257",5,5,4,5,5,7
"258",7,6,5,5,5,8
"259",5,2,3,5,4,5
"260",9,5,6,8,5,7
"261",6,7,10,7,7,6
"262",4,6,6,4,6,6
"263",7,7,4,6,5,7
"264",4,2,4,4,4,4
"265",6,4,7,6,6,6
"266",4,5,8,3,2,5
"267",9,7,6,7,6,7
"268",5,6,8,8,7,6
"269",8,9,6,8,7,4
"270",4,8,9,3,3,6
"271",3,5,6,2,5,7
"272",5,4,2,2,2,4
"273",7,2,4,3,4,5
"274",6,7,7,6,4,2
"275",6,10,10,4,8,3
"276",8,8,6,3,1,7
"277",4,5,4,5,5,5
"278",7,7,8,6,6,3
"279",7,5,6,7,7,4
"280",5,5,7,4,4,5
"281",6,4,3,7,4,3
"282",6,5,4,4,5,6
"283",7,4,2,5,6,5
"284",5,6,6,4,6,5
"285",7,6,6,5,4,3
"286",6,3,7,5,4,3
"287",8,6,9,6,3,6
"288",8,7,4,5,7,1
"289",2,5,5,5,4,1
"290",7,6,6,7,4,6
"291",9,4,6,4,3,3
"292",7,5,9,5,2,5
"293",7,5,4,7,7,4
"294",9,8,6,7,8,6
"295",1,5,6,8,9,5
"296",4,5,5,5,6,4
"297",5,5,7,4,5,4
"298",6,9,8,7,6,5
"299",6,4,4,8,6,6
"300",6,7,8,5,4,6
"301",4,6,7,6,8,7
"302",8,5,8,6,8,5
"303",10,8,7,6,3,4
"304",4,4,1,2,5,5
"305",9,6,10,6,5,6
"306",9,10,10,10,6,6
"307",8,3,4,4,3,3
"308",5,4,5,6,1,3
"309",7,5,6,8,8,7
"310",5,4,6,6,5,6
"311",5,6,4,3,5,6
"312",4,5,5,5,3,5
"313",5,5,2,3,7,7
"314",9,4,5,10,8,9
"315",6,9,7,6,8,5
"316",6,7,6,9,10,5
"317",8,6,7,5,4,6
"318",6,5,6,6,8,7
"319",7,8,8,5,3,4
"320",7,8,9,6,6,5
"321",6,5,7,4,4,4
"322",5,6,9,6,6,5
"323",5,5,2,3,5,6
"324",3,3,6,5,2,3
"325",4,3,6,6,3,7
"326",6,7,9,7,7,5
"327",5,6,6,7,4,3
"328",7,7,6,6,6,2
"329",4,8,7,5,9,7
"330",5,4,5,8,9,7
"331",6,4,4,5,3,4
"332",5,6,4,5,5,5
"333",8,5,6,5,4,3
"334",8,3,4,6,6,5
"335",5,3,2,3,2,5
"336",3,7,4,4,6,6
"337",6,4,4,6,6,10
"338",4,7,5,4,2,5
"339",6,8,8,7,5,5
"340",5,6,6,5,6,5
"341",9,7,9,4,6,5
"342",7,7,9,6,7,7
"343",8,4,7,6,3,6
"344",4,4,9,5,3,7
"345",8,7,8,7,7,4
"346",6,7,7,7,7,7
"347",3,4,4,5,8,6
"348",6,5,5,6,6,5
"349",6,6,8,5,7,6
"350",3,5,6,4,4,3
"351",5,7,6,8,7,4
"352",6,4,7,2,2,5
"353",5,4,5,5,3,6
"354",5,5,5,5,5,7
"355",8,8,4,7,4,3
"356",4,4,8,5,3,3
"357",3,7,6,7,5,5
"358",4,5,6,5,4,7
"359",6,7,6,5,4,5
"360",8,4,5,5,5,7
"361",5,5,3,1,6,6
"362",6,7,4,6,5,6
"363",5,7,8,6,7,5
"364",5,5,5,6,8,5
"365",5,7,8,9,8,8
"366",3,2,2,2,3,2
"367",4,7,4,7,6,5
"368",9,6,4,4,3,4
"369",9,7,7,6,7,6
"370",4,5,6,5,2,4
"371",4,5,6,5,4,5
"372",5,4,8,6,8,6
"373",6,5,6,5,7,6
"374",8,5,6,7,5,5
"375",7,4,6,2,3,9
"376",9,9,7,2,6,5
"377",5,9,7,7,5,6
"378",3,2,3,6,5,4
"379",4,2,3,6,8,7
"380",7,7,5,5,3,6
"381",10,8,7,6,6,6
"382",5,5,4,5,3,3
"383",7,5,6,5,6,5
"384",6,5,5,3,3,4
"385",4,5,4,5,5,6
"386",6,6,3,1,4,6
"387",7,4,5,4,2,7
"388",8,10,7,8,4,7
"389",7,7,8,7,7,6
"390",7,6,7,6,7,7
"391",4,7,3,4,3,5
"392",6,3,5,8,7,7
"393",6,6,6,6,4,7
"394",8,7,2,5,3,4
"395",9,10,7,7,6,7
"396",3,5,6,3,5,2
"397",6,4,3,7,6,4
"398",4,6,3,6,3,4
"399",7,3,5,5,4,6
"400",6,6,5,3,5,4
